allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
blaACT-87,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-87,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_121527365.1,NG_070175.1,No,BCG11505.1,LC545448.1,+,5297,6442,+,101.0,1246.0,,,,blaACT-87,2023-11-15.1,Enterobacter kobei IMP1H4 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-87,,Enterobacter kobei,Enterobacter kobei,cephalosporin-hydrolyzing class C beta-lactamase ACT-87,Enterobacter kobei,Enterobacter kobei,IMP1H4,Enterobacter kobei,IMP1H4,Enterobacter kobei IMP1H4,http://www.wikidata.org/entity/Q12180556
blaACT-88,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-88,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_181240047.1,NG_074695.1,No,QTV32571.1,MW887657.1,+,1,1146,+,1.0,1146.0,,,,blaACT-88,2023-11-15.1,Enterobacter ludwigii INSAq77 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-88,,Enterobacter ludwigii,Enterobacter ludwigii,cephalosporin-hydrolyzing class C beta-lactamase ACT-88,Enterobacter ludwigii,Enterobacter ludwigii,INSAq77,Enterobacter ludwigii,INSAq77,Enterobacter ludwigii INSAq77,http://www.wikidata.org/entity/Q12180555
blaACT-89,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-89,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_049134845.1,NG_074696.1,No,QUR41147.1,MZ067484.1,+,1,1146,+,1.0,1146.0,11179650,,,blaACT-89,2023-11-15.1,Enterobacter hormaechei INSAq107 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-89,,Enterobacter hormaechei,Enterobacter hormaechei,cephalosporin-hydrolyzing class C beta-lactamase ACT-89,Enterobacter hormaechei,Enterobacter hormaechei,INSAq107,Enterobacter hormaechei,INSAq107,Enterobacter hormaechei INSAq107,http://www.wikidata.org/entity/Q12180559
blaACT-9,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-9,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_013981172.1,NG_048632.1,No,AEI70575.1,HQ693810.1,+,1009,2151,+,101.0,1243.0,21690276,,,blaACT-9,2023-11-15.1,Pantoea agglomerans PA1 pTV1422 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-9,,Pantoea agglomerans,Pantoea agglomerans,cephalosporin-hydrolyzing class C beta-lactamase ACT-9,Pantoea agglomerans,Pantoea agglomerans,PA1,Pantoea agglomerans,PA1,Pantoea agglomerans PA1,http://www.wikidata.org/entity/Q6336019
blaACT-90,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-90,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_023305291.1,NG_076632.1,No,ESM21743.1,AYIM01000001.1,-,557505,558650,+,101.0,1246.0,,,,blaACT-90,2023-11-15.1,Enterobacter hormaechei subsp. hoffmannii UCICRE 3 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-90,,Enterobacter hormaechei subsp. hoffmannii UCICRE 3,Enterobacter,cephalosporin-hydrolyzing class C beta-lactamase ACT-90,Enterobacter,Enterobacter hormaechei subsp. hoffmannii UCICRE 3,UCICRE 3,Enterobacter hormaechei subsp. hoffmannii UCICRE 3,UCICRE 3,Enterobacter hormaechei subsp. hoffmannii UCICRE 3,http://www.wikidata.org/entity/Q12180559
blaACT-91,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-91,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_268871843.1,NG_148605.1,No,UEG31054.1,OL351615.1,+,1,1146,+,1.0,1146.0,,,,blaACT-91,2023-11-15.1,Enterobacter cloacae INSAEcloF271 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-91,,Enterobacter cloacae,Enterobacter cloacae,cephalosporin-hydrolyzing class C beta-lactamase ACT-91,Enterobacter cloacae,Enterobacter cloacae,INSAEcloF271,Enterobacter cloacae,INSAEcloF271,Enterobacter cloacae INSAEcloF271,http://www.wikidata.org/entity/Q4038096
blaACT-92,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-92,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_268871844.1,NG_148606.1,No,UEG31055.1,OL351616.1,+,1,1146,+,1.0,1146.0,,,,blaACT-92,2023-11-15.1,Enterobacter cloacae INSAEcloF480 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-92,,Enterobacter cloacae,Enterobacter cloacae,cephalosporin-hydrolyzing class C beta-lactamase ACT-92,Enterobacter cloacae,Enterobacter cloacae,INSAEcloF480,Enterobacter cloacae,INSAEcloF480,Enterobacter cloacae INSAEcloF480,http://www.wikidata.org/entity/Q4038096
blaACT-93,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-93,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_039261009.1,NG_148607.1,No,UEG31057.1,OL351618.1,+,1,1146,+,1.0,1146.0,,,,blaACT-93,2023-11-15.1,Enterobacter cloacae INSAEcloF515 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-93,,Enterobacter cloacae,Enterobacter,cephalosporin-hydrolyzing class C beta-lactamase ACT-93,Enterobacter,Enterobacter cloacae,INSAEcloF515,Enterobacter cloacae,INSAEcloF515,Enterobacter cloacae INSAEcloF515,http://www.wikidata.org/entity/Q4038096
blaACT-94,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-94,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_252029529.1,NG_148608.1,No,UEG31058.1,OL351619.1,+,1,1146,+,1.0,1146.0,,,,blaACT-94,2023-11-15.1,Enterobacter cloacae INSAEcloF1609 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-94,,Enterobacter cloacae,Enterobacter cloacae,cephalosporin-hydrolyzing class C beta-lactamase ACT-94,Enterobacter cloacae,Enterobacter cloacae,INSAEcloF1609,Enterobacter cloacae,INSAEcloF1609,Enterobacter cloacae INSAEcloF1609,http://www.wikidata.org/entity/Q4038096
blaACT-95,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-95,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063434356.1,NG_079212.1,No,UHK14138.1,OL794635.1,+,1,1146,+,1.0,1146.0,,,,blaACT-95,2023-11-15.1,Enterobacter cloacae complex RIVM_C006362 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-95,,Enterobacter cloacae complex,Enterobacter,cephalosporin-hydrolyzing class C beta-lactamase ACT-95,Enterobacter,Enterobacter cloacae complex,RIVM_C006362,Enterobacter cloacae complex,RIVM_C006362,Enterobacter cloacae complex RIVM_C006362,http://www.wikidata.org/entity/Q4038096
blaACT-96,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-96,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_240067713.1,NG_079213.1,No,UHK14141.1,OL794638.1,+,1,1146,+,1.0,1146.0,,,,blaACT-96,2023-11-15.1,Enterobacter cloacae complex RIVM_C008762 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-96,,Enterobacter cloacae complex,Enterobacter cloacae complex,cephalosporin-hydrolyzing class C beta-lactamase ACT-96,Enterobacter cloacae complex,Enterobacter cloacae complex,RIVM_C008762,Enterobacter cloacae complex,RIVM_C008762,Enterobacter cloacae complex RIVM_C008762,http://www.wikidata.org/entity/Q4038096
blaACT-97,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-97,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_240067714.1,NG_079214.1,No,UHK14144.1,OL794641.1,+,1,1146,+,1.0,1146.0,,,,blaACT-97,2023-11-15.1,Enterobacter cloacae complex RIVM_C008935 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-97,,Enterobacter cloacae complex,Enterobacter cloacae complex,cephalosporin-hydrolyzing class C beta-lactamase ACT-97,Enterobacter cloacae complex,Enterobacter cloacae complex,RIVM_C008935,Enterobacter cloacae complex,RIVM_C008935,Enterobacter cloacae complex RIVM_C008935,http://www.wikidata.org/entity/Q4038096
blaACT-98,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-98,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_232932000.1,NG_079215.1,No,UHK14151.1,OL794648.1,+,1,1146,+,1.0,1146.0,,,,blaACT-98,2023-11-15.1,Enterobacter cloacae complex RIVM_C012337 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-98,,Enterobacter cloacae complex,Enterobacter cloacae complex,cephalosporin-hydrolyzing class C beta-lactamase ACT-98,Enterobacter cloacae complex,Enterobacter cloacae complex,RIVM_C012337,Enterobacter cloacae complex,RIVM_C012337,Enterobacter cloacae complex RIVM_C012337,http://www.wikidata.org/entity/Q4038096
blaACT-99,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase ACT-99,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_196347324.1,NG_079216.1,No,UHK14152.1,OL794649.1,+,1,1146,+,1.0,1146.0,,,,blaACT-99,2023-11-15.1,Enterobacter cloacae complex RIVM_C012388 blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-99,,Enterobacter cloacae complex,Enterobacter cloacae complex,cephalosporin-hydrolyzing class C beta-lactamase ACT-99,Enterobacter cloacae complex,Enterobacter cloacae complex,RIVM_C012388,Enterobacter cloacae complex,RIVM_C012388,Enterobacter cloacae complex RIVM_C012388,http://www.wikidata.org/entity/Q4038096
blaACT-GC1,blaACT,,extended spectrum class C beta-lactamase ACT-GC1,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_249828058.1,NG_080769.1,No,BAA07922.1,D44479.1,+,390,1544,+,101.0,1255.0,"7890700,10441119",,,blaACT-GC1,2023-11-15.1,Enterobacter cloacae GC1 blaACT,extended spectrum class C beta-lactamase ACT-GC1,,Enterobacter cloacae,Enterobacter cloacae,extended spectrum class C beta-lactamase ACT-GC1,Enterobacter cloacae,Enterobacter cloacae,GC1,Enterobacter cloacae,GC1,Enterobacter cloacae GC1,http://www.wikidata.org/entity/Q4038096
blaMIR-14,blaACT,,cephalosporin-hydrolyzing class C beta-lactamase MIR-14,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063860838.1,NG_049298.1,No,AIT76117.1,KM087864.1,+,1,1146,+,1.0,1146.0,,,,blaMIR-14,2023-11-15.1,Enterobacter asburiae 1013802 blaACT,cephalosporin-hydrolyzing class C beta-lactamase MIR-14,,Enterobacter asburiae,Enterobacter,cephalosporin-hydrolyzing class C beta-lactamase MIR-14,Enterobacter,Enterobacter asburiae,1013802,Enterobacter asburiae,1013802,Enterobacter asburiae 1013802,http://www.wikidata.org/entity/Q6586729
blaADC-100,blaADC,,extended-spectrum class C beta-lactamase ADC-100,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981607.1,NG_051439.1,No,ANW47141.1,KX599382.1,+,1,1158,+,1.0,1158.0,,,,blaADC-100,2023-11-15.1,Acinetobacter baumannii MRSN7495 blaADC,extended-spectrum class C beta-lactamase ADC-100,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-100,Acinetobacter baumannii,Acinetobacter baumannii,MRSN7495,Acinetobacter baumannii,MRSN7495,Acinetobacter baumannii MRSN7495,http://www.wikidata.org/entity/Q3241189
blaADC-101,blaADC,,extended-spectrum class C beta-lactamase ADC-101,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981608.1,NG_051440.1,No,ANW47133.1,KX599374.1,+,1,1152,+,1.0,1152.0,,,,blaADC-101,2023-11-15.1,Acinetobacter baumannii MRSN7119 blaADC,extended-spectrum class C beta-lactamase ADC-101,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-101,Acinetobacter baumannii,Acinetobacter baumannii,MRSN7119,Acinetobacter baumannii,MRSN7119,Acinetobacter baumannii MRSN7119,http://www.wikidata.org/entity/Q3241189
blaADC-102,blaADC,,extended-spectrum class C beta-lactamase ADC-102,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981609.1,NG_051441.1,No,ANW47148.1,KX599389.1,+,1,1152,+,1.0,1152.0,,,,blaADC-102,2023-11-15.1,Acinetobacter baumannii MRSN7745 blaADC,extended-spectrum class C beta-lactamase ADC-102,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-102,Acinetobacter baumannii,Acinetobacter baumannii,MRSN7745,Acinetobacter baumannii,MRSN7745,Acinetobacter baumannii MRSN7745,http://www.wikidata.org/entity/Q3241189
blaADC-103,blaADC,,extended-spectrum class C beta-lactamase ADC-103,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981610.1,NG_051442.1,No,ANW69905.1,KX609236.1,+,1,1152,+,1.0,1152.0,,,,blaADC-103,2023-11-15.1,Acinetobacter baumannii MRSN1439 blaADC,extended-spectrum class C beta-lactamase ADC-103,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-103,Acinetobacter baumannii,Acinetobacter baumannii,MRSN1439,Acinetobacter baumannii,MRSN1439,Acinetobacter baumannii MRSN1439,http://www.wikidata.org/entity/Q3241189
blaADC-104,blaADC,,extended-spectrum class C beta-lactamase ADC-104,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981611.1,NG_051443.1,No,ANW69906.1,KX609237.1,+,1,1152,+,1.0,1152.0,,,,blaADC-104,2023-11-15.1,Acinetobacter baumannii MRSN1449 blaADC,extended-spectrum class C beta-lactamase ADC-104,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-104,Acinetobacter baumannii,Acinetobacter baumannii,MRSN1449,Acinetobacter baumannii,MRSN1449,Acinetobacter baumannii MRSN1449,http://www.wikidata.org/entity/Q3241189
blaADC-105,blaADC,,extended-spectrum class C beta-lactamase ADC-105,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981612.1,NG_051444.1,No,ANW69907.1,KX609238.1,+,1,1152,+,1.0,1152.0,,,,blaADC-105,2023-11-15.1,Acinetobacter baumannii MRSN15045 blaADC,extended-spectrum class C beta-lactamase ADC-105,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-105,Acinetobacter baumannii,Acinetobacter baumannii,MRSN15045,Acinetobacter baumannii,MRSN15045,Acinetobacter baumannii MRSN15045,http://www.wikidata.org/entity/Q3241189
blaADC-106,blaADC,,extended-spectrum class C beta-lactamase ADC-106,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981613.1,NG_051445.1,No,ANW69909.1,KX609240.1,+,1,1152,+,1.0,1152.0,,,,blaADC-106,2023-11-15.1,Acinetobacter baumannii MRSN7204 blaADC,extended-spectrum class C beta-lactamase ADC-106,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-106,Acinetobacter baumannii,Acinetobacter baumannii,MRSN7204,Acinetobacter baumannii,MRSN7204,Acinetobacter baumannii MRSN7204,http://www.wikidata.org/entity/Q3241189
blaADC-107,blaADC,,extended-spectrum class C beta-lactamase ADC-107,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_068981614.1,NG_051446.1,No,ANW69912.1,KX609243.1,+,1,1152,+,1.0,1152.0,,,,blaADC-107,2023-11-15.1,Acinetobacter baumannii MRSN11765 blaADC,extended-spectrum class C beta-lactamase ADC-107,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-107,Acinetobacter baumannii,Acinetobacter baumannii,MRSN11765,Acinetobacter baumannii,MRSN11765,Acinetobacter baumannii MRSN11765,http://www.wikidata.org/entity/Q3241189
blaADC-109,blaADC,,extended-spectrum class C beta-lactamase ADC-109,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_136512052.1,NG_064669.1,No,AAV32519.1,AY758396.1,+,1224,2375,+,101.0,1252.0,,,,blaADC-109,2023-11-15.1,Acinetobacter baumannii CLA-1 blaADC,extended-spectrum class C beta-lactamase ADC-109,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-109,Acinetobacter baumannii,Acinetobacter baumannii,CLA-1,Acinetobacter baumannii,CLA-1,Acinetobacter baumannii CLA-1,http://www.wikidata.org/entity/Q3241189
blaADC-11,blaADC,,extended-spectrum class C beta-lactamase ADC-11,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211205.1,NG_048635.1,No,ADG46039.1,GU591983.1,+,1,1152,+,1.0,1152.0,20547808,,,blaADC-11,2023-11-15.1,Acinetobacter baumannii AYE blaADC,extended-spectrum class C beta-lactamase ADC-11,,Acinetobacter baumannii AYE,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-11,Acinetobacter baumannii,Acinetobacter baumannii AYE,AYE,Acinetobacter baumannii AYE,AYE,Acinetobacter baumannii AYE,http://www.wikidata.org/entity/Q3241189
blaADC-110,blaADC,,extended-spectrum class C beta-lactamase ADC-110,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_136512053.1,NG_064670.1,No,ABO38124.1,EF433777.1,+,1,1152,+,1.0,1152.0,,,,blaADC-110,2023-11-15.1,Acinetobacter baumannii 08776-Zhongguo blaADC,extended-spectrum class C beta-lactamase ADC-110,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-110,Acinetobacter baumannii,Acinetobacter baumannii,08776-Zhongguo,Acinetobacter baumannii,08776-Zhongguo,Acinetobacter baumannii 08776-Zhongguo,http://www.wikidata.org/entity/Q3241189
blaADC-114,blaADC,,extended-spectrum class C beta-lactamase ADC-114,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_125052776.1,NG_064673.1,No,ETY67158.1,AZNQ01000099.1,-,20775,21929,+,31.0,1185.0,,,,blaADC-114,2023-11-15.1,Acinetobacter baumannii MDR_MMC4 blaADC,extended-spectrum class C beta-lactamase ADC-114,,Acinetobacter baumannii MDR_MMC4,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-114,Acinetobacter baumannii,Acinetobacter baumannii MDR_MMC4,MDR_MMC4,Acinetobacter baumannii MDR_MMC4,MDR_MMC4,Acinetobacter baumannii MDR_MMC4,http://www.wikidata.org/entity/Q3241189
blaADC-115,blaADC,,extended-spectrum class C beta-lactamase ADC-115,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211215.1,NG_064674.1,No,AFU38919.1,CP003856.1,+,3008631,3009782,+,101.0,1252.0,,,,blaADC-115,2023-11-15.1,Acinetobacter baumannii TYTH-1 blaADC,extended-spectrum class C beta-lactamase ADC-115,,Acinetobacter baumannii TYTH-1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-115,Acinetobacter baumannii,Acinetobacter baumannii TYTH-1,TYTH-1,Acinetobacter baumannii TYTH-1,TYTH-1,Acinetobacter baumannii TYTH-1,http://www.wikidata.org/entity/Q3241189
blaADC-116,blaADC,,extended-spectrum class C beta-lactamase ADC-116,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_017816757.1,NG_064675.1,Yes,,AOLU01000048.1,+,24905,26056,+,101.0,1252.0,23723398,,,blaADC-116,2023-11-15.1,Acinetobacter baumannii AB4A3 blaADC,extended-spectrum class C beta-lactamase ADC-116,,Acinetobacter baumannii AB4A3,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-116,Acinetobacter baumannii,Acinetobacter baumannii AB4A3,AB4A3,,,Acinetobacter baumannii AB4A3,http://www.wikidata.org/entity/Q3241189
blaADC-117,blaADC,,extended-spectrum class C beta-lactamase ADC-117,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_002157727.1,NG_064676.1,No,ELW88222.1,AMGA01000054.1,+,551824,552975,+,101.0,1252.0,,,,blaADC-117,2023-11-15.1,Acinetobacter baumannii AA-014 blaADC,extended-spectrum class C beta-lactamase ADC-117,,Acinetobacter baumannii AA-014,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-117,Acinetobacter baumannii,Acinetobacter baumannii AA-014,AA-014,Acinetobacter baumannii AA-014,AA-014,Acinetobacter baumannii AA-014,http://www.wikidata.org/entity/Q3241189
blaADC-119,blaADC,,extended-spectrum class C beta-lactamase ADC-119,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004712857.1,NG_064677.1,No,ENU51112.1,APOQ01000006.1,-,318132,319283,+,101.0,1252.0,,,,blaADC-119,2023-11-15.1,Acinetobacter baumannii NIPH 1669 blaADC,extended-spectrum class C beta-lactamase ADC-119,,Acinetobacter baumannii NIPH 1669,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-119,Acinetobacter baumannii,Acinetobacter baumannii NIPH 1669,NIPH 1669,Acinetobacter baumannii NIPH 1669,NIPH 1669,Acinetobacter baumannii NIPH 1669,http://www.wikidata.org/entity/Q3241189
blaADC-12,blaADC,,extended-spectrum class C beta-lactamase ADC-12,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857787.1,NG_048636.1,No,CAK95249.1,AM283529.1,+,1,1152,+,1.0,1152.0,19029333,,,blaADC-12,2023-11-15.1,Acinetobacter pittii 14 GEIH blaADC,extended-spectrum class C beta-lactamase ADC-12,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-12,Acinetobacter pittii,Acinetobacter pittii,14 GEIH,Acinetobacter pittii,14 GEIH,Acinetobacter pittii 14 GEIH,http://www.wikidata.org/entity/Q16825015
blaADC-120,blaADC,,extended-spectrum class C beta-lactamase ADC-120,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_002126587.1,NG_064678.1,No,ENV26641.1,APPL01000015.1,-,122539,123690,+,101.0,1252.0,,,,blaADC-120,2023-11-15.1,Acinetobacter baumannii NIPH 190 blaADC,extended-spectrum class C beta-lactamase ADC-120,,Acinetobacter baumannii NIPH 190,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-120,Acinetobacter baumannii,Acinetobacter baumannii NIPH 190,NIPH 190,Acinetobacter baumannii NIPH 190,NIPH 190,Acinetobacter baumannii NIPH 190,http://www.wikidata.org/entity/Q3241189
blaADC-121,blaADC,,extended-spectrum class C beta-lactamase ADC-121,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005109685.1,NG_064679.1,No,ENW36647.1,APQV01000007.1,-,349635,350786,+,101.0,1252.0,,,,blaADC-121,2023-11-15.1,Acinetobacter baumannii NIPH 201 blaADC,extended-spectrum class C beta-lactamase ADC-121,,Acinetobacter baumannii NIPH 201,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-121,Acinetobacter baumannii,Acinetobacter baumannii NIPH 201,NIPH 201,Acinetobacter baumannii NIPH 201,NIPH 201,Acinetobacter baumannii NIPH 201,http://www.wikidata.org/entity/Q3241189
blaADC-122,blaADC,,extended-spectrum class C beta-lactamase ADC-122,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005123276.1,NG_064680.1,No,ENW46489.1,APQY01000003.1,-,325650,326801,+,101.0,1252.0,,,,blaADC-122,2023-11-15.1,Acinetobacter baumannii NIPH 329 blaADC,extended-spectrum class C beta-lactamase ADC-122,,Acinetobacter baumannii NIPH 329,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-122,Acinetobacter baumannii,Acinetobacter baumannii NIPH 329,NIPH 329,Acinetobacter baumannii NIPH 329,NIPH 329,Acinetobacter baumannii NIPH 329,http://www.wikidata.org/entity/Q3241189
blaADC-123,blaADC,,extended-spectrum class C beta-lactamase ADC-123,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004840559.1,NG_064681.1,No,ENV30802.1,APPM01000011.1,-,37511,38662,+,101.0,1252.0,,,,blaADC-123,2023-11-15.1,Acinetobacter baumannii NIPH 60 blaADC,extended-spectrum class C beta-lactamase ADC-123,,Acinetobacter baumannii NIPH 60,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-123,Acinetobacter baumannii,Acinetobacter baumannii NIPH 60,NIPH 60,Acinetobacter baumannii NIPH 60,NIPH 60,Acinetobacter baumannii NIPH 60,http://www.wikidata.org/entity/Q3241189
blaADC-125,blaADC,,extended-spectrum class C beta-lactamase ADC-125,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005131186.1,NG_064682.1,No,ENW51227.1,APRA01000004.1,-,212647,213798,+,101.0,1252.0,,,,blaADC-125,2023-11-15.1,Acinetobacter baumannii NIPH 67 blaADC,extended-spectrum class C beta-lactamase ADC-125,,Acinetobacter baumannii NIPH 67,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-125,Acinetobacter baumannii,Acinetobacter baumannii NIPH 67,NIPH 67,Acinetobacter baumannii NIPH 67,NIPH 67,Acinetobacter baumannii NIPH 67,http://www.wikidata.org/entity/Q3241189
blaADC-127,blaADC,,extended-spectrum class C beta-lactamase ADC-127,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005046018.1,NG_064683.1,No,ENW00696.1,APQI01000003.1,-,297056,298207,+,101.0,1252.0,,,,blaADC-127,2023-11-15.1,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 blaADC,extended-spectrum class C beta-lactamase ADC-127,,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-127,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,CIP 81.8,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,CIP 81.8,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,http://www.wikidata.org/entity/Q4674168
blaADC-128,blaADC,,extended-spectrum class C beta-lactamase ADC-128,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004643536.1,NG_064684.1,No,ENU07956.1,APOE01000009.1,+,127529,128680,+,101.0,1252.0,,,,blaADC-128,2023-11-15.1,Acinetobacter calcoaceticus NIPH 13 blaADC,extended-spectrum class C beta-lactamase ADC-128,,Acinetobacter calcoaceticus NIPH 13,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-128,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus NIPH 13,NIPH 13,Acinetobacter calcoaceticus NIPH 13,NIPH 13,Acinetobacter calcoaceticus NIPH 13,http://www.wikidata.org/entity/Q4674168
