allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_parent_taxon,refseq_protein,refseq_parent_taxon2,refseq_gene,refseq_protein2,refseq_genome,refseq_organism,refseq_tax_id,genbank_organism,genbank_strain,genbank_organism2,genbank_strain2,genbank_tax_id,strain,parent_taxon
blaADC-116,blaADC,,extended-spectrum class C beta-lactamase ADC-116,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_017816757.1,NG_064675.1,Yes,,AOLU01000048.1,+,24905,26056,+,101.0,1252.0,23723398,,,blaADC-116,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-116,Acinetobacter baumannii,Acinetobacter baumannii AB4A3 blaADC,extended-spectrum class C beta-lactamase ADC-116,,Acinetobacter baumannii AB4A3,taxon:1222032,,,Acinetobacter baumannii AB4A3,AB4A3,taxon:1222032,Acinetobacter baumannii AB4A3,http://www.wikidata.org/entity/Q3241189
blaADC-117,blaADC,,extended-spectrum class C beta-lactamase ADC-117,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_002157727.1,NG_064676.1,No,ELW88222.1,AMGA01000054.1,+,551824,552975,+,101.0,1252.0,,,,blaADC-117,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-117,Acinetobacter baumannii,Acinetobacter baumannii AA-014 blaADC,extended-spectrum class C beta-lactamase ADC-117,,Acinetobacter baumannii AA-014,taxon:903937,Acinetobacter baumannii AA-014,AA-014,Acinetobacter baumannii AA-014,AA-014,taxon:903937,Acinetobacter baumannii AA-014,http://www.wikidata.org/entity/Q3241189
blaADC-119,blaADC,,extended-spectrum class C beta-lactamase ADC-119,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004712857.1,NG_064677.1,No,ENU51112.1,APOQ01000006.1,-,318132,319283,+,101.0,1252.0,,,,blaADC-119,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-119,Acinetobacter baumannii,Acinetobacter baumannii NIPH 1669 blaADC,extended-spectrum class C beta-lactamase ADC-119,,Acinetobacter baumannii NIPH 1669,taxon:1217643,Acinetobacter baumannii NIPH 1669,NIPH 1669,Acinetobacter baumannii NIPH 1669,NIPH 1669,taxon:1217643,Acinetobacter baumannii NIPH 1669,http://www.wikidata.org/entity/Q3241189
blaADC-120,blaADC,,extended-spectrum class C beta-lactamase ADC-120,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_002126587.1,NG_064678.1,No,ENV26641.1,APPL01000015.1,-,122539,123690,+,101.0,1252.0,,,,blaADC-120,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-120,Acinetobacter baumannii,Acinetobacter baumannii NIPH 190 blaADC,extended-spectrum class C beta-lactamase ADC-120,,Acinetobacter baumannii NIPH 190,taxon:1217640,Acinetobacter baumannii NIPH 190,NIPH 190,Acinetobacter baumannii NIPH 190,NIPH 190,taxon:1217640,Acinetobacter baumannii NIPH 190,http://www.wikidata.org/entity/Q3241189
blaADC-121,blaADC,,extended-spectrum class C beta-lactamase ADC-121,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005109685.1,NG_064679.1,No,ENW36647.1,APQV01000007.1,-,349635,350786,+,101.0,1252.0,,,,blaADC-121,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-121,Acinetobacter baumannii,Acinetobacter baumannii NIPH 201 blaADC,extended-spectrum class C beta-lactamase ADC-121,,Acinetobacter baumannii NIPH 201,taxon:1217630,Acinetobacter baumannii NIPH 201,NIPH 201,Acinetobacter baumannii NIPH 201,NIPH 201,taxon:1217630,Acinetobacter baumannii NIPH 201,http://www.wikidata.org/entity/Q3241189
blaADC-122,blaADC,,extended-spectrum class C beta-lactamase ADC-122,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005123276.1,NG_064680.1,No,ENW46489.1,APQY01000003.1,-,325650,326801,+,101.0,1252.0,,,,blaADC-122,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-122,Acinetobacter baumannii,Acinetobacter baumannii NIPH 329 blaADC,extended-spectrum class C beta-lactamase ADC-122,,Acinetobacter baumannii NIPH 329,taxon:1217632,Acinetobacter baumannii NIPH 329,NIPH 329,Acinetobacter baumannii NIPH 329,NIPH 329,taxon:1217632,Acinetobacter baumannii NIPH 329,http://www.wikidata.org/entity/Q3241189
blaADC-123,blaADC,,extended-spectrum class C beta-lactamase ADC-123,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004840559.1,NG_064681.1,No,ENV30802.1,APPM01000011.1,-,37511,38662,+,101.0,1252.0,,,,blaADC-123,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-123,Acinetobacter baumannii,Acinetobacter baumannii NIPH 60 blaADC,extended-spectrum class C beta-lactamase ADC-123,,Acinetobacter baumannii NIPH 60,taxon:1217647,Acinetobacter baumannii NIPH 60,NIPH 60,Acinetobacter baumannii NIPH 60,NIPH 60,taxon:1217647,Acinetobacter baumannii NIPH 60,http://www.wikidata.org/entity/Q3241189
blaADC-125,blaADC,,extended-spectrum class C beta-lactamase ADC-125,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005131186.1,NG_064682.1,No,ENW51227.1,APRA01000004.1,-,212647,213798,+,101.0,1252.0,,,,blaADC-125,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-125,Acinetobacter baumannii,Acinetobacter baumannii NIPH 67 blaADC,extended-spectrum class C beta-lactamase ADC-125,,Acinetobacter baumannii NIPH 67,taxon:1217627,Acinetobacter baumannii NIPH 67,NIPH 67,Acinetobacter baumannii NIPH 67,NIPH 67,taxon:1217627,Acinetobacter baumannii NIPH 67,http://www.wikidata.org/entity/Q3241189
blaADC-127,blaADC,,extended-spectrum class C beta-lactamase ADC-127,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005046018.1,NG_064683.1,No,ENW00696.1,APQI01000003.1,-,297056,298207,+,101.0,1252.0,,,,blaADC-127,2024-01-31.1,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-127,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 blaADC,extended-spectrum class C beta-lactamase ADC-127,,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,taxon:981331,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,CIP 81.8,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,CIP 81.8,taxon:981331,Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,http://www.wikidata.org/entity/Q4674168
blaADC-128,blaADC,,extended-spectrum class C beta-lactamase ADC-128,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004643536.1,NG_064684.1,No,ENU07956.1,APOE01000009.1,+,127529,128680,+,101.0,1252.0,,,,blaADC-128,2024-01-31.1,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-128,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus NIPH 13 blaADC,extended-spectrum class C beta-lactamase ADC-128,,Acinetobacter calcoaceticus NIPH 13,taxon:1217654,Acinetobacter calcoaceticus NIPH 13,NIPH 13,Acinetobacter calcoaceticus NIPH 13,NIPH 13,taxon:1217654,Acinetobacter calcoaceticus NIPH 13,http://www.wikidata.org/entity/Q4674168
blaADC-129,blaADC,,extended-spectrum class C beta-lactamase ADC-129,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005039111.1,NG_064685.1,No,ENV92309.1,APQH01000006.1,-,279509,280660,+,101.0,1252.0,,,,blaADC-129,2024-01-31.1,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-129,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus ANC 3680 blaADC,extended-spectrum class C beta-lactamase ADC-129,,Acinetobacter calcoaceticus ANC 3680,taxon:1217653,Acinetobacter calcoaceticus ANC 3680,ANC 3680,Acinetobacter calcoaceticus ANC 3680,ANC 3680,taxon:1217653,Acinetobacter calcoaceticus ANC 3680,http://www.wikidata.org/entity/Q4674168
blaADC-130,blaADC,,extended-spectrum class C beta-lactamase ADC-130,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004886093.1,NG_064686.1,No,ENV41121.1,APPP01000013.1,-,366971,368122,+,101.0,1252.0,,,,blaADC-130,2024-01-31.1,Acinetobacter,extended-spectrum class C beta-lactamase ADC-130,Acinetobacter,Acinetobacter nosocomialis NIPH 386 blaADC,extended-spectrum class C beta-lactamase ADC-130,,Acinetobacter nosocomialis NIPH 386,taxon:1217985,Acinetobacter nosocomialis NIPH 386,NIPH 386,Acinetobacter nosocomialis NIPH 386,NIPH 386,taxon:1217985,Acinetobacter nosocomialis NIPH 386,http://www.wikidata.org/entity/Q16825007
blaADC-131,blaADC,,extended-spectrum class C beta-lactamase ADC-131,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004707701.1,NG_064687.1,No,ENU48760.1,APOP01000002.1,-,166885,168036,+,101.0,1252.0,,,,blaADC-131,2024-01-31.1,Acinetobacter nosocomialis,extended-spectrum class C beta-lactamase ADC-131,Acinetobacter nosocomialis,Acinetobacter nosocomialis NIPH 2119 blaADC,extended-spectrum class C beta-lactamase ADC-131,,Acinetobacter nosocomialis NIPH 2119,taxon:1217670,Acinetobacter nosocomialis NIPH 2119,NIPH 2119,Acinetobacter nosocomialis NIPH 2119,NIPH 2119,taxon:1217670,Acinetobacter nosocomialis NIPH 2119,http://www.wikidata.org/entity/Q16825007
blaADC-132,blaADC,,extended-spectrum class C beta-lactamase ADC-132,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005068074.1,NG_064688.1,No,ENW11417.1,APQN01000012.1,-,267317,268468,+,101.0,1252.0,,,,blaADC-132,2024-01-31.1,Acinetobacter,extended-spectrum class C beta-lactamase ADC-132,Acinetobacter,Acinetobacter pittii ANC 3678 blaADC,extended-spectrum class C beta-lactamase ADC-132,,Acinetobacter pittii ANC 3678,taxon:1217673,Acinetobacter pittii ANC 3678,ANC 3678,Acinetobacter pittii ANC 3678,ANC 3678,taxon:1217673,Acinetobacter pittii ANC 3678,http://www.wikidata.org/entity/Q16825015
blaADC-136,blaADC,,extended-spectrum class C beta-lactamase ADC-136,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_016137488.1,NG_064692.1,No,EOQ64883.1,APQJ01000005.1,-,303184,304335,+,101.0,1252.0,,,,blaADC-136,2024-01-31.1,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-136,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus ANC 3811 blaADC,extended-spectrum class C beta-lactamase ADC-136,,Acinetobacter calcoaceticus ANC 3811,taxon:1217690,Acinetobacter calcoaceticus ANC 3811,ANC 3811,Acinetobacter calcoaceticus ANC 3811,ANC 3811,taxon:1217690,Acinetobacter calcoaceticus ANC 3811,http://www.wikidata.org/entity/Q4674168
blaADC-137,blaADC,,extended-spectrum class C beta-lactamase ADC-137,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_016140427.1,NG_064693.1,No,EOQ71234.1,APQM01000001.1,-,330725,331876,+,101.0,1252.0,,,,blaADC-137,2024-01-31.1,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-137,Acinetobacter pittii,Acinetobacter pittii ANC 4050 blaADC,extended-spectrum class C beta-lactamase ADC-137,,Acinetobacter pittii ANC 4050,taxon:1217691,Acinetobacter pittii ANC 4050,ANC 4050,Acinetobacter pittii ANC 4050,ANC 4050,taxon:1217691,Acinetobacter pittii ANC 4050,http://www.wikidata.org/entity/Q16825015
blaADC-139,blaADC,,extended-spectrum class C beta-lactamase ADC-139,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032039838.1,NG_064695.1,No,EXS60093.1,JFYI01000005.1,-,216169,217320,+,101.0,1252.0,,,,blaADC-139,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-139,Acinetobacter baumannii,Acinetobacter baumannii 1406589 blaADC,extended-spectrum class C beta-lactamase ADC-139,,Acinetobacter baumannii 1406589,taxon:1310760,Acinetobacter baumannii 1406589,1406589,Acinetobacter baumannii 1406589,1406589,taxon:1310760,Acinetobacter baumannii 1406589,http://www.wikidata.org/entity/Q3241189
blaADC-140,blaADC,,extended-spectrum class C beta-lactamase ADC-140,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211209.1,NG_064696.1,No,EYS55294.1,JHPF01000005.1,+,1179,2330,+,101.0,1252.0,,,,blaADC-140,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-140,Acinetobacter baumannii,Acinetobacter baumannii 16553_10 blaADC,extended-spectrum class C beta-lactamase ADC-140,,Acinetobacter baumannii 16553_10,taxon:1311107,Acinetobacter baumannii 16553_10,16553_10,Acinetobacter baumannii 16553_10,16553_10,taxon:1311107,Acinetobacter baumannii 16553_10,http://www.wikidata.org/entity/Q3241189
blaADC-141,blaADC,,extended-spectrum class C beta-lactamase ADC-141,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032062810.1,NG_064697.1,No,EXD64655.1,JEZV01000049.1,-,7922,9073,+,101.0,1252.0,,,,blaADC-141,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-141,Acinetobacter baumannii,Acinetobacter baumannii 58452 blaADC,extended-spectrum class C beta-lactamase ADC-141,,Acinetobacter baumannii 58452,taxon:1310579,Acinetobacter baumannii 58452,58452,Acinetobacter baumannii 58452,58452,taxon:1310579,Acinetobacter baumannii 58452,http://www.wikidata.org/entity/Q3241189
blaADC-143,blaADC,,extended-spectrum class C beta-lactamase ADC-143,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_033502167.1,NG_064698.1,Yes,,AGSU01000096.1,-,36675,37826,+,101.0,1252.0,,,,blaADC-143,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-143,Acinetobacter baumannii,Acinetobacter baumannii TYTH-6 blaADC,extended-spectrum class C beta-lactamase ADC-143,,Acinetobacter baumannii TYTH-6,taxon:1100846,,,Acinetobacter baumannii TYTH-6,TYTH-6,taxon:1100846,Acinetobacter baumannii TYTH-6,http://www.wikidata.org/entity/Q3241189
blaADC-144,blaADC,,cefepime-hydrolyzing class C beta-lactamase ADC-144,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211214.1,NG_064699.1,Yes,,AMIJ01000141.1,+,135566,136717,+,101.0,1252.0,21788456,,,blaADC-144,2024-01-31.1,Acinetobacter baumannii,cefepime-hydrolyzing class C beta-lactamase ADC-144,Acinetobacter baumannii,Acinetobacter baumannii AB_TG2030 blaADC,cefepime-hydrolyzing class C beta-lactamase ADC-144,,Acinetobacter baumannii AB_TG2030,taxon:1221279,,,Acinetobacter baumannii AB_TG2030,AB_TG2030,taxon:1221279,Acinetobacter baumannii AB_TG2030,http://www.wikidata.org/entity/Q3241189
blaADC-149,blaADC,,extended-spectrum class C beta-lactamase ADC-149,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_014207272.1,NG_064704.1,No,ADY82440.1,CP002177.1,+,1995662,1996813,+,101.0,1252.0,,,,blaADC-149,2024-01-31.1,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-149,Acinetobacter pittii,Acinetobacter pittii PHEA-2 blaADC,extended-spectrum class C beta-lactamase ADC-149,,Acinetobacter pittii PHEA-2,taxon:871585,Acinetobacter pittii PHEA-2,PHEA-2,Acinetobacter pittii PHEA-2,PHEA-2,taxon:871585,Acinetobacter pittii PHEA-2,http://www.wikidata.org/entity/Q16825015
blaADC-171,blaADC,,cefepime-hydrolyzing class C beta-lactamase ADC-171,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_031961878.1,NG_056163.1,No,EXG42507.1,JFDD01000056.1,-,21724,22878,+,101.0,1255.0,,,,blaADC-171,2024-01-31.1,Acinetobacter baumannii,cefepime-hydrolyzing class C beta-lactamase ADC-171,Acinetobacter baumannii,Acinetobacter baumannii 24860_7 blaADC,cefepime-hydrolyzing class C beta-lactamase ADC-171,,Acinetobacter baumannii 24860_7,taxon:1310841,Acinetobacter baumannii 24860_7,24860_7,Acinetobacter baumannii 24860_7,24860_7,taxon:1310841,Acinetobacter baumannii 24860_7,http://www.wikidata.org/entity/Q3241189
blaADC-172,blaADC,,cefepime-hydrolyzing class C beta-lactamase ADC-172,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032027415.1,NG_056162.1,No,EXD57031.1,JEZU01000044.1,+,679,1833,+,101.0,1255.0,,,,blaADC-172,2024-01-31.1,Acinetobacter baumannii,cefepime-hydrolyzing class C beta-lactamase ADC-172,Acinetobacter baumannii,Acinetobacter baumannii 653020 blaADC,cefepime-hydrolyzing class C beta-lactamase ADC-172,,Acinetobacter baumannii 653020,taxon:1310594,Acinetobacter baumannii 653020,653020,Acinetobacter baumannii 653020,653020,taxon:1310594,Acinetobacter baumannii 653020,http://www.wikidata.org/entity/Q3241189
blaADC-173,blaADC,,cefepime-hydrolyzing class C beta-lactamase ADC-173,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032071188.1,NG_056164.1,No,EXI26748.1,JFFA01000050.1,-,21109,22263,+,101.0,1255.0,,,,blaADC-173,2024-01-31.1,Acinetobacter baumannii,cefepime-hydrolyzing class C beta-lactamase ADC-173,Acinetobacter baumannii,Acinetobacter baumannii 836190 blaADC,cefepime-hydrolyzing class C beta-lactamase ADC-173,,Acinetobacter baumannii 836190,taxon:1310727,Acinetobacter baumannii 836190,836190,Acinetobacter baumannii 836190,836190,taxon:1310727,Acinetobacter baumannii 836190,http://www.wikidata.org/entity/Q3241189
blaADC-31,blaADC,,extended-spectrum class C beta-lactamase ADC-31,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211223.1,NG_050716.1,No,ADX04315.1,CP001921.1,+,2803997,2805148,+,101.0,1252.0,22038960,,,blaADC-31,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-31,Acinetobacter baumannii,Acinetobacter baumannii 1656-2 blaADC,extended-spectrum class C beta-lactamase ADC-31,,Acinetobacter baumannii 1656-2,taxon:696749,Acinetobacter baumannii 1656-2,1656-2,Acinetobacter baumannii 1656-2,1656-2,taxon:696749,Acinetobacter baumannii 1656-2,http://www.wikidata.org/entity/Q3241189
blaADC-32,blaADC,,extended-spectrum class C beta-lactamase ADC-32,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004739487.1,NG_050717.1,No,ENU68675.1,APOV01000029.1,+,55413,56564,+,101.0,1252.0,,,,blaADC-32,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-32,Acinetobacter baumannii,Acinetobacter baumannii NIPH 615 blaADC,extended-spectrum class C beta-lactamase ADC-32,,Acinetobacter baumannii NIPH 615,taxon:1217641,Acinetobacter baumannii NIPH 615,NIPH 615,Acinetobacter baumannii NIPH 615,NIPH 615,taxon:1217641,Acinetobacter baumannii NIPH 615,http://www.wikidata.org/entity/Q3241189
blaADC-8,blaADC,,ADC-like class C beta-lactamase ADC-8,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004923134.1,NG_048685.1,No,CAL25116.3,AM293332.3,+,1,1194,+,1.0,1194.0,17403709,,,blaADC-8,2024-01-31.1,Acinetobacter,ADC-like class C beta-lactamase ADC-8,Acinetobacter,Acinetobacter baylyi ADP1 blaADC,ADC-like class C beta-lactamase ADC-8,,Acinetobacter baylyi ADP1,taxon:62977,Acinetobacter baylyi ADP1,ADP1,Acinetobacter baylyi ADP1,ADP1,taxon:62977,Acinetobacter baylyi ADP1,http://www.wikidata.org/entity/Q16870362
blaADC-82,blaADC,,extended-spectrum class C beta-lactamase ADC-82,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211216.1,NG_050718.1,No,AFI94770.1,CP003500.1,-,1196033,1197184,+,101.0,1252.0,,,,blaADC-82,2024-01-31.1,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-82,Acinetobacter baumannii,Acinetobacter baumannii MDR-TJ blaADC,extended-spectrum class C beta-lactamase ADC-82,,Acinetobacter baumannii MDR-TJ,taxon:889738,Acinetobacter baumannii MDR-TJ,MDR-TJ,Acinetobacter baumannii MDR-TJ,MDR-TJ,taxon:889738,Acinetobacter baumannii MDR-TJ,http://www.wikidata.org/entity/Q3241189
blaALI-1,blaALI,,subclass B1 metallo-beta-lactamase ALI-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_026025287.1,NG_057427.1,Yes,,FM178379.1,+,1323038,1323775,+,101.0,838.0,,,,blaALI-1,2024-01-31.1,Aliivibrio,subclass B1 metallo-beta-lactamase ALI-1,Aliivibrio,Aliivibrio salmonicida LFI1238 blaALI,subclass B1 metallo-beta-lactamase ALI-1,,Aliivibrio salmonicida LFI1238,taxon:316275,,,Aliivibrio salmonicida LFI1238,LFI1238,taxon:316275,Aliivibrio salmonicida LFI1238,http://www.wikidata.org/entity/Q25834876
blaB-18,blaB,,subclass B1 metallo-beta-lactamase BlaB-18,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_078691467.1,NG_067207.1,No,ATC35781.1,CP023401.1,-,1290529,1291278,+,101.0,850.0,,,,blaB-18,2024-01-31.1,Elizabethkingia anophelis,subclass B1 metallo-beta-lactamase BlaB-18,Elizabethkingia anophelis,Elizabethkingia anophelis R26 blaB,subclass B1 metallo-beta-lactamase BlaB-18,,Elizabethkingia anophelis R26,taxon:1246994,Elizabethkingia anophelis R26,R26,Elizabethkingia anophelis R26,R26,taxon:1246994,Elizabethkingia anophelis R26,http://www.wikidata.org/entity/Q24976335
blaB-21,blaB,,subclass B1 metallo-beta-lactamase BlaB-21,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_029728367.1,NG_067210.1,No,AIL46641.1,CP007547.1,-,3053572,3054321,+,101.0,850.0,12019109,,,blaB-21,2024-01-31.1,Elizabethkingia anophelis,subclass B1 metallo-beta-lactamase BlaB-21,Elizabethkingia anophelis,Elizabethkingia anophelis NUHP1 blaB,subclass B1 metallo-beta-lactamase BlaB-21,,Elizabethkingia anophelis NUHP1,taxon:1338011,Elizabethkingia anophelis NUHP1,NUHP1,Elizabethkingia anophelis NUHP1,NUHP1,taxon:1338011,Elizabethkingia anophelis NUHP1,http://www.wikidata.org/entity/Q24976335
blaB-33,blaB,,subclass B1 metallo-beta-lactamase BlaB-33,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_065161001.1,NG_067218.1,No,AKH95151.1,CP006576.1,-,2413569,2414318,+,101.0,850.0,,,,blaB-33,2024-01-31.1,Elizabethkingia anophelis,subclass B1 metallo-beta-lactamase BlaB-33,Elizabethkingia anophelis,Elizabethkingia anophelis FMS-007 blaB,subclass B1 metallo-beta-lactamase BlaB-33,,Elizabethkingia anophelis FMS-007,taxon:1352940,Elizabethkingia anophelis FMS-007,FMS-007,Elizabethkingia anophelis FMS-007,FMS-007,taxon:1352940,Elizabethkingia anophelis FMS-007,http://www.wikidata.org/entity/Q24976335
blaBAT-1,blaBAT,,class D beta-lactamase BAT-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_003328240.1,NG_050940.1,No,ADP31031.1,CP002207.1,+,67027,67833,+,101.0,907.0,,,,blaBAT-1,2024-01-31.1,Bacillus atrophaeus,class D beta-lactamase BAT-1,Bacillus atrophaeus,Bacillus atrophaeus 1942 blaBAT,class D beta-lactamase BAT-1,,Bacillus atrophaeus 1942,taxon:720555,Bacillus atrophaeus 1942,1942,Bacillus atrophaeus 1942,1942,taxon:720555,Bacillus atrophaeus 1942,http://www.wikidata.org/entity/Q16836690
blaBOR-1,blaBOR,,class A beta-lactamase BOR-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_010926363.1,NG_079224.1,No,CAE32545.1,BX640443.1,+,107142,108059,+,101.0,1018.0,15917575,,,blaBOR-1,2024-01-31.1,Bordetella,class A beta-lactamase BOR-1,Bordetella,Bordetella bronchiseptica RB50 blaBOR,class A beta-lactamase BOR-1,,Bordetella bronchiseptica RB50,taxon:257310,Bordetella bronchiseptica RB50,RB50,Bordetella bronchiseptica RB50,RB50,taxon:257310,Bordetella bronchiseptica RB50,http://www.wikidata.org/entity/Q137446
blaBPU-1,blaBPU,,class D beta-lactamase BPU-1,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_041816295.1,NG_050941.1,No,ABV63006.2,CP000813.4,-,2349399,2350187,+,101.0,889.0,26551395,,,blaBPU-1,2024-01-31.1,Bacillus pumilus,class D beta-lactamase BPU-1,Bacillus pumilus,Bacillus pumilus SAFR-032 blaBPU,class D beta-lactamase BPU-1,,Bacillus pumilus SAFR-032,taxon:315750,Bacillus pumilus SAFR-032,SAFR-032,Bacillus pumilus SAFR-032,SAFR-032,taxon:315750,Bacillus pumilus SAFR-032,http://www.wikidata.org/entity/Q4838979
blaBRO-2,blaBRO,,class A beta-lactamase BRO-2,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_003665544.1,NG_054940.1,No,ADG61848.1,CP002005.1,+,1565907,1566848,+,101.0,1042.0,8849261,,,blaBRO-2,2024-01-31.1,Moraxella,class A beta-lactamase BRO-2,Moraxella,Moraxella catarrhalis BBH18 blaBRO,class A beta-lactamase BRO-2,,Moraxella catarrhalis BBH18,taxon:1236608,Moraxella catarrhalis BBH18,BBH18,Moraxella catarrhalis BBH18,BBH18,taxon:1236608,Moraxella catarrhalis BBH18,http://www.wikidata.org/entity/Q2046669
,blaC,,class A beta-lactamase BlaC,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_003410677.1,NG_047489.1,No,AAB07556.1,U67924.1,+,277,1200,+,101.0,1024.0,9145897,,,blaC,2024-01-31.1,Mycobacterium,class A beta-lactamase BlaC,Mycobacterium,Mycobacterium tuberculosis H37Ra blaC,class A beta-lactamase BlaC,,Mycobacterium tuberculosis H37Ra,taxon:419947,Mycobacterium tuberculosis H37Ra,H37Ra,Mycobacterium tuberculosis H37Ra,H37Ra,taxon:419947,Mycobacterium tuberculosis H37Ra,http://www.wikidata.org/entity/Q130971
blaCAR-1,blaCAR,,subclass B3 metallo-beta-lactamase CAR-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_011094382.1,NG_048712.1,No,CAG75749.1,BX950851.1,+,3193309,3194337,+,101.0,1129.0,,,,blaCAR-1,2024-01-31.1,Pectobacterium atrosepticum,subclass B3 metallo-beta-lactamase CAR-1,Pectobacterium atrosepticum,Pectobacterium atrosepticum SCRI1043 blaCAR,subclass B3 metallo-beta-lactamase CAR-1,,Pectobacterium atrosepticum SCRI1043,taxon:218491,Pectobacterium atrosepticum SCRI1043,SCRI1043,Pectobacterium atrosepticum SCRI1043,SCRI1043,taxon:218491,Pectobacterium atrosepticum SCRI1043,http://www.wikidata.org/entity/Q3373933
